"Namn","Pris","Volym","Varugrupp","Typ","Stil","PrisPerLiter","Producent","Ursprunglandnamn","Alkoholhalt","year","SortimentText"
"Ballast Point - Habanero Sculpin India Pale Ale",36.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",103.94,"Ballast Point Brewing","USA","7.00%",2015,"Övrigt sortiment"
"Ballast Point - Grapefruit Sculpin India Pale Ale",31.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",89.86,"Ballast Point Brewing","USA","7.00%",2015,"Ordinarie sortiment"
"Vega Shoreline APA",24.7,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",74.85,"Vega Bryggeri","Sverige","5.60%",2015,"Lokalt och småskaligt"
"Vega - Gotenius Porter",26.7,330,"Öl","Porter och stout","Torr porter och stout",80.91,"Vega Bryggeri","Sverige","6.00%",2015,"Lokalt och småskaligt"
"Garage Project - Hapi Daze Pacific Pale Ale",31.9,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",96.67,"Garage Project","Nya Zeeland","4.60%",2015,"Övrigt sortiment"
"Röda Hjorten",29.8,500,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",59.6,"Alingsås Bryggeri","Sverige","5.50%",2015,"Lokalt och småskaligt"
"BrewDog - Jack Hammer",26.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",81.52,"BrewDog","Storbritannien","7.20%",2015,"Övrigt sortiment"
"Nolhaga Park",31.2,500,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",62.4,"Alingsås Bryggeri","Sverige","6.00%",2015,"Lokalt och småskaligt"
"Sun Giant - Pale Ale",29.5,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",89.39,"Chad Beer","Sverige","4.60%",2015,"Lokalt och småskaligt"
"Red October",20.5,330,"Öl","Mellanmörk lager","Märzen och wienerstil",62.12,"Gotlands Bryggeri","Sverige","6.00%",2015,"Övrigt sortiment"
"Rantens - Porter",32.8,330,"Öl","Porter och stout","Torr porter och stout",99.39,"Åsalid Bryggeri","Sverige","5.70%",2015,"Lokalt och småskaligt"
"Påverås - India Pale Ale",32.3,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",97.88,"Åsalid Bryggeri","Sverige","6.00%",2015,"Lokalt och småskaligt"
"Rocket Zero Gravity - Brett IPA",34.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",105.76,"Rocket Brewing Company","Danmark","7.10%",2015,"Lokalt och småskaligt"
"Det Lille Bryggeri - Black Chili Lakrids",44.9,330,"Öl","Porter och stout","Torr porter och stout",136.06,"Det Lille Bryggeri","Danmark","6.60%",2016,"Lokalt och småskaligt"
"Red Kite - Organic Amber Ale",23.9,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",72.42,"Black Isle Brewery","Storbritannien","4.20%",2016,"Ordinarie sortiment"
"Coppersmith's - Bière Blanche",22.5,330,"Öl","Veteöl","Witbier",68.18,"Coppersmith's AB","Sverige","5.20%",2016,"Ordinarie sortiment"
"Collesi - Rossa",53,500,"Öl","Ale belgisk stil","",106,"Collesi","Italien","8.00%",2015,"Övrigt sortiment"
"Collesi - Triplo Malto Bionda",56,500,"Öl","Ale belgisk stil","",112,"Collesi","Italien","9.00%",2015,"Övrigt sortiment"
"Helsinge - Julöl",33.7,500,"Öl","Mörk lager","Dunkel",67.4,"Helsinge Ångbryggeri HB","Sverige","5.70%",2015,"Övrigt sortiment"
"Blonde Ale",19.9,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",60.3,"Sahlins Brygghus","Sverige","4.80%",2015,"Lokalt och småskaligt"
"Carlskrona - Julöl",25.8,330,"Öl","Ale oklassificerat","",78.18,"Carlskrona Bryggeri","Sverige","5.40%",2015,"Övrigt sortiment"
"Saaz Single Hop - Belgian Ale",23.9,330,"Öl","Ale belgisk stil","Belgisk ljus ale",72.42,"Sahlins Brygghus","Sverige","5.30%",2015,"Lokalt och småskaligt"
"Kattjerks - India Pale Ale",32.8,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",99.39,"The Beer Factory Leksand","Sverige","5.90%",2015,"Lokalt och småskaligt"
"Samichlaus - Classic",49.2,330,"Öl","Mörk lager","Dubbelbock",149.09,"Eggenberger International","Österrike","14.00%",2015,"Övrigt sortiment"
"Jädraöl IPA",27.7,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",83.94,"Jädraås Bryggeri","Sverige","6.50%",2016,"Lokalt och småskaligt"
"S:t Annas - Amber Lager",17.8,330,"Öl","Mellanmörk lager","Märzen och wienerstil",53.94,"Krönleins","Sverige","5.50%",2015,"Lokalt och småskaligt"
"Baggens IPA",28.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",87.58,"Nacka Bryggeri","Sverige","6.10%",2015,"Lokalt och småskaligt"
"Rosen Boom",23.7,330,"Öl","Mörk lager","Schwarzbier",71.82,"Restaurang Skeppsgossen","Sverige","5.20%",2015,"Lokalt och småskaligt"
"Leufsta Pils",22.8,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",69.09,"Leufstabruk Bryggeri AB","Sverige","5.00%",2015,"Lokalt och småskaligt"
"OPAT - Svetlý Lezák",21.9,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",43.8,"Pivovar Broumov","Tjeckien","4.80%",2015,"Övrigt sortiment"
"Neptun - IPA",24.5,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",74.24,"Restaurang Skeppsgossen","Sverige","6.00%",2015,"Lokalt och småskaligt"
"Mölska Tallstrunt",39.1,330,"Öl","Annan öl","",118.49,"Mjödhamnen AB","Sverige","6.80%",2015,"Lokalt och småskaligt"
"Royal Oats - Imperial Oat Porter",39.7,330,"Öl","Porter och stout","Imperial porter och stout",120.3,"PKLK Bryggeri","Sverige","8.60%",2016,"Lokalt och småskaligt"
"Zeunerts 1857",9.9,330,"Öl","Ljus lager","",30,"Zeunerts Bryggeri","Sverige","4.20%",2015,"Övrigt sortiment"
"Black Elf - Black Pale Ale",36.1,500,"Öl","Ale brittisk-amerikansk stil","Black IPA",72.2,"Ridgeway Brewing","Storbritannien","4.50%",2015,"Övrigt sortiment"
"Primator Premium",11.9,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",36.06,"Primator","Tjeckien","5.00%",2016,"Övrigt sortiment"
"Nya Carnegiebryggeriet - Primus Lux",59.9,750,"Öl","Ale brittisk-amerikansk stil","Strong ale",79.87,"Nya Carnegiebryggeriet","Sverige","7.00%",2016,"Ordinarie sortiment"
"Sigtuna Lager Organic",19.9,330,"Öl","Ljus lager","Modern stil",60.3,"Sigtuna Brygghus","Sverige","5.10%",2016,"Ordinarie sortiment"
"Becker's Pils",11.9,330,"Öl","Ljus lager","Pilsner - tysk stil",36.06,"Karlsberg Brauerei","Tyskland","4.90%",2016,"Övrigt sortiment"
"To Øl - My Pils",16.9,330,"Öl","Ljus lager","Modern stil",51.21,"To Øl","Internationellt märke","4.00%",2016,"Övrigt sortiment"
"Gaffel Kölsch",16.8,330,"Öl","Ale tysk stil","Kölsch",50.91,"Privatbrauerei Gaffel/Köln","Tyskland","4.80%",2016,"Övrigt sortiment"
"Mikkeller - Spontancassis",59.9,375,"Öl","Syrlig öl","Lambic - frukt och bär",159.73,"Mikkeller","Internationellt märke","7.70%",2016,"Ordinarie sortiment"
"Estrella Galicia - Premium Lager",9.9,250,"Öl","Ljus lager","Internationell stil",39.6,"Hijos de Rivera","Spanien","4.70%",2016,"Ordinarie sortiment"
"Cirrus - The Cloudy Lager",13.9,330,"Öl","Ljus lager","Modern stil",42.12,"Spendrups","Sverige","5.10%",2016,"Ordinarie sortiment"
"Ocho Reales - Porter Gluten free",40.7,330,"Öl","Porter och stout","Torr porter och stout",123.33,"Comidasy Bebidas Fermentadas","Mexiko","4.50%",2015,"Övrigt sortiment"
"Lion - Stout",39.2,330,"Öl","Porter och stout","Imperial porter och stout",118.79,"The Lion Brewery Ceylon","Sri Lanka","8.80%",2015,"Övrigt sortiment"
"Lion - Stout",72.2,625,"Öl","Porter och stout","Imperial porter och stout",115.52,"The Lion Brewery Ceylon","Sri Lanka","8.80%",2015,"Övrigt sortiment"
"Cucapá - Honey Amber Ale",39.9,355,"Öl","Ale brittisk-amerikansk stil","Amber ale",112.39,"Cerveceria de Baja California","Mexiko","4.50%",2015,"Övrigt sortiment"
"Cucapá - Obscura",37.4,355,"Öl","Ale brittisk-amerikansk stil","Brown ale",105.35,"Cerveceria de Baja California","Mexiko","4.80%",2015,"Övrigt sortiment"
"Ocho - Reales Ale",38.4,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",116.36,"Comidasy Bebidas Fermentadas","Mexiko","5.00%",2015,"Övrigt sortiment"
"Quilmes Bock",37.5,340,"Öl","Ljus lager","Ljus bocköl",110.29,"Cerveceria Y Malteria Quilmes","Argentina","6.30%",2015,"Övrigt sortiment"
"King Cobra",86.4,750,"Öl","Ljus lager","Starkare lager",115.2,"Molson Coors Brewing Company","Storbritannien","7.50%",2015,"Övrigt sortiment"
"Gurkha - Premium Lager Beer",31.9,330,"Öl","Ljus lager","Internationell stil",96.67,"Gurkha Beer Trading","Storbritannien","4.80%",2015,"Övrigt sortiment"
"Evil Twin - Christmas Eve At A New York City Hotel Room",31.4,355,"Öl","Porter och stout","Imperial porter och stout",88.45,"Evil Twin Brewing","USA","10.00%",2015,"Övrigt sortiment"
"Edge Hoptimista - Indian Pale Ale",38.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",117.88,"Edge Brewing","Spanien","6.60%",2015,"Övrigt sortiment"
"Nomad Pils",24.9,330,"Öl","Ljus lager","Pilsner - tysk stil",75.46,"Migranten","Danmark","4.80%",2016,"Lokalt och småskaligt"
"Odyssé IPA - India Pale Ale",32.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",99.7,"Migranten","Danmark","6.80%",2016,"Lokalt och småskaligt"
"'NAUT - Black India Pale Ale",29,330,"Öl","Ale brittisk-amerikansk stil","Black IPA",87.88,"Modernist Brewery AB","Sverige","7.50%",2016,"Lokalt och småskaligt"
"NKB Shady Jade - Pale Ale",26.7,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",80.91,"Nordic Kiwi Brewers","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Ocean - Lallas Lager",20.8,330,"Öl","Ljus lager","Modern stil",63.03,"Oceanbryggeriet","Sverige","4.80%",2016,"Lokalt och småskaligt"
"Vega Hazy Amber - Pale Ale",24.7,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",74.85,"Vega Bryggeri","Sverige","5.80%",2016,"Lokalt och småskaligt"
"Tyska Eken Pilsner",22.4,330,"Öl","Ljus lager","Pilsner - tysk stil",67.88,"Tyska Eken, Eks Tyska Bryggeri","Sverige","5.20%",2016,"Lokalt och småskaligt"
"Waxholm - Pale Ale",27.3,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",82.73,"Waxholms Bryggeri","Sverige","5.20%",2016,"Lokalt och småskaligt"
"Äppelbo Enbärs",34.9,330,"Öl","Annan öl","",105.76,"Äppelbo Bryggeri","Sverige","5.20%",2016,"Lokalt och småskaligt"
"Gurkha - Premium Lager Beer",56,660,"Öl","Ljus lager","Internationell stil",84.85,"Gurkha Beer Trading","Storbritannien","4.80%",2015,"Övrigt sortiment"
"Wolf Dark - Strong Scottish Ale",43.1,500,"Öl","Ale brittisk-amerikansk stil","Skotsk ale",86.2,"Windswept Brewing Co","Storbritannien","6.00%",2015,"Övrigt sortiment"
"The Wolf of Glen Moray",73.1,330,"Öl","Ale brittisk-amerikansk stil","Skotsk ale",221.52,"Windswept Brewing Co","Storbritannien","9.20%",2015,"Övrigt sortiment"
"Day of The Dead - Hop on Or Die IPA",30,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90.91,"Cerveceria Mexicana","Mexiko","6.80%",2015,"Övrigt sortiment"
"Day of The Dead - Queen of The Night Pale Ale",28.1,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",85.15,"Cerveceria Mexicana","Mexiko","4.80%",2015,"Övrigt sortiment"
"3 Monts",31.8,330,"Öl","Ale belgisk stil","Bière de garde",96.36,"Brasserie de Saint-Sylvestre","Frankrike","8.50%",2015,"Övrigt sortiment"
"Day of The Dead - Death Becomes You Amber Ale",28.7,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",86.97,"Cerveceria Mexicana","Mexiko","5.50%",2015,"Övrigt sortiment"
"Gavroche",33.8,330,"Öl","Ale belgisk stil","Bière de garde",102.42,"Brasserie de Saint-Sylvestre","Frankrike","8.50%",2015,"Övrigt sortiment"
"Day of The Dead - Pay The Ferry Porter",28.3,330,"Öl","Porter och stout","Torr porter och stout",85.76,"Cerveceria Mexicana","Mexiko","5.00%",2015,"Övrigt sortiment"
"Day of The Dead - Dia De Los Muertos Hefeweizen",28.7,330,"Öl","Veteöl","Hefeweizen",86.97,"Cerveceria Mexicana","Mexiko","5.50%",2015,"Övrigt sortiment"
"Lobkowicz - Premium Ale",22,500,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",44,"Pivovar Protivin","Tjeckien","4.40%",2015,"Övrigt sortiment"
"Lobkowicz - Premium PÅ¡enicný",22,500,"Öl","Veteöl","Hefeweizen",44,"Pivovar Protivin","Tjeckien","4.50%",2015,"Övrigt sortiment"
"Lobkowicz - Premium Cerne",21.2,500,"Öl","Mörk lager","Dunkel",42.4,"Pivovar Protivin","Tjeckien","4.70%",2015,"Övrigt sortiment"
"Lobkowicz - Premium",21.9,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",43.8,"Pivovar Protivin","Tjeckien","4.70%",2015,"Övrigt sortiment"
"Lobkowicz - Premium",20.8,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",63.03,"Pivovar Protivin","Tjeckien","4.70%",2015,"Övrigt sortiment"
"Chili Beer",27.6,330,"Öl","Annan öl","",83.64,"Cerveceria Mexicana","Mexiko","4.20%",2015,"Övrigt sortiment"
"Mixpack Tjeckiskt Öl",468,10000,"Öl","Annan öl","Öl av flera typer/stilar",46.8,"Flera producenter","Tjeckien","4.80%",2015,"Övrigt sortiment"
"Stillwater - Mono Hoppy Pilsner",32.9,355,"Öl","Ljus lager","Modern stil",92.68,"Stillwater Artisanal Ales","USA","5.20%",2015,"Övrigt sortiment"
"Stillwater - Classique Postmodern Beer",27.9,355,"Öl","Ale belgisk stil","Saison",78.59,"Stillwater Artisanal Ales","USA","4.50%",2015,"Övrigt sortiment"
"Andechser - Doppelbock Dunkel",31.9,500,"Öl","Mörk lager","Dubbelbock",63.8,"Klosterbrauerei Andechs","Tyskland","7.10%",2015,"Övrigt sortiment"
"Andechser - Special Hell",29.9,500,"Öl","Ljus lager","Dortmunder och helles",59.8,"Klosterbrauerei Andechs","Tyskland","5.90%",2015,"Övrigt sortiment"
"Cuveé Alex Le Rouge - Jurassian Imperial Stout",118.8,330,"Öl","Porter och stout","Imperial porter och stout",360,"Brasserie BFM","Schweiz","10.30%",2015,"Övrigt sortiment"
"Gulden Spoor - Quadruppel Ale",75.1,330,"Öl","Ale belgisk stil","Abt och kvadrupel",227.58,"Gulden Spoor","Belgien","9.00%",2015,"Övrigt sortiment"
"Esplanad Julöl",96.2,750,"Öl","Ale oklassificerat","",128.27,"Hops N' Leon of Skaraborg AB","Sverige","5.00%",2015,"Övrigt sortiment"
"Braköl",14.9,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",45.15,"Ljusdals Bryggeri AB","Sverige","5.00%",2015,"Övrigt sortiment"
"Tingvalla - Saison Number 1",23.9,330,"Öl","Ale brittisk-amerikansk stil","",72.42,"Tingvalla Hantverks AB","Sverige","5.20%",2015,"Övrigt sortiment"
"Backens Lager",18.3,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",55.46,"Skellefteå Bryggeri AB","Sverige","4.70%",2016,"Lokalt och småskaligt"
"Backens Ale",19.7,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",59.7,"Skellefteå Bryggeri AB","Sverige","5.30%",2016,"Lokalt och småskaligt"
